FEATURES_DESC_006A,FACILITY_CARRIED_007,LAT_016,LONG_017,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,APPR_WIDTH_MT_032,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,CHANNEL_COND_061,CULVERT_COND_062,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,Culvert_Damage,SVCYR,ADT,Reconst,PTRUCK
'GRAND SALINE CREEK REL  ','FM 1652           ',32373873,95435148,1965,2,450,7.3,8.6,3,16.5,8.6,10.9,6,6,0,0,0,9,1,53,450,0,9
'GRAND SALINE CREEK      ','FM 1652           ',32373693,95435124,1965,2,450,7.3,8.6,3,12.8,8.6,10.8,5,6,0,0,0,9,1,53,450,0,9
'DIFFY CREEK             ','FM 1653           ',32260999,95463064,1961,2,410,6.1,9.8,3,6.4,9.8,10.2,7,7,0,0,0,10,0,57,410,0,10
'BIG SANDY CREEK         ','FM 1995           ',32294057,95373319,1961,2,360,5.8,5.8,3,10.1,0,0,6,6,0,0,0,9,1,57,360,0,9
'MURCHISON CRK TR        ','FM 2339           ',32221655,95381576,1960,2,1000,7.3,9.8,3,11,9.8,10.2,7,6,0,0,0,10,1,58,1000,0,10
'MCENTURFF CREEK         ','FM 1395           ',32445910,95544132,1961,2,570,8.5,8.5,2.4,7.9,0,0,6,5,0,0,0,10,1,57,570,0,10
'MILL CREEK              ','RM 2909           ',32312717,95505767,1967,2,1870,7.3,7.3,3,6.4,0,0,7,5,0,0,0,6,1,51,1870,0,6
'KICKAPOO CREEK          ','RM 2909           ',32280963,95490232,1969,2,520,7.9,7.9,3,12.8,0,0,6,6,0,0,2007,10,1,11,520,1,10
'WOLF CREEK              ','FM 2965           ',32410481,96033378,1967,2,3130,8.5,9.1,3,14.3,0,0,7,7,0,0,2000,9,0,18,3130,1,9
'DRY CREEK               ','FM 3080           ',32224041,96020269,1970,2,620,7.3,8.8,2.4,7.6,8.8,16.2,7,5,0,0,0,11,1,48,620,0,11
'TWIN CREEK              ','FM 3080           ',32224570,96010617,1970,2,620,6.7,7.4,3,16.2,7.4,14.7,7,7,0,0,0,11,0,48,620,0,11
'GRAND SALINE CREEK      ','CR 1219           ',32371169,95443390,2008,2,130,3.7,7.2,3,11.3,7.2,7.9,7,7,0,0,0,2,0,10,130,0,2
'KOONCE CREEK            ','CR 1222           ',32372164,95452353,2005,2,60,4.3,7.2,3,13.4,7.2,7.9,5,7,0,0,0,0,0,13,60,0,0
'DAVIS CREEK             ','CR 1321           ',32350284,95424469,2000,1,80,4.3,4.3,3,7,0,0,6,6,0,0,0,0,1,18,80,0,0
'FLAT CREEK              ','CR 2112           ',32365583,95584704,2005,2,270,4.9,7.2,3,9.8,7.2,7.9,7,7,0,0,0,0,0,13,270,0,0
'SOUTHBUCK BRANCH        ','CR 2411           ',32293792,95572810,2003,2,70,4.3,8.4,3,13.1,8.4,9.1,7,6,0,0,0,0,1,15,70,0,0
'DRY LACY CREEK TRIB     ','CR 2501           ',32321703,95563108,2003,2,320,4.9,8.4,3,9.8,8.4,9.1,7,7,0,0,0,0,0,15,320,0,0
'CANEY CREEK             ','CR 3204           ',32363408,95543637,1975,2,160,5.5,8.4,1.5,7,8.4,8.8,6,6,0,0,0,0,1,43,160,0,0
'DUCK CREEK              ','CR 3827           ',32493620,96040919,1999,2,40,4.3,7.3,2.7,9.1,7.3,8.9,7,7,0,0,0,0,0,19,40,0,0
'MURCHISON CREEK TRIB    ','CR 4713           ',32224841,95374410,1929,2,120,4.9,7.3,3,10.4,7.3,7.8,7,5,0,0,2001,0,1,17,120,1,0
'BIG SANDY CREEK         ','N WALNUT ST       ',32312959,95382379,1996,2,200,10.7,10.6,2.4,9.4,10.6,13.8,6,7,0,0,0,0,0,22,200,0,0
'BIG SANDY CREEK         ','SOUTH ELM ST      ',32312168,95381671,1965,2,910,12.2,12.4,2.7,10.4,12.4,12.4,5,6,0,0,0,1,1,53,910,0,1
'BRIARY CREEK            ','SH 11             ',32572105,95134974,1955,2,2220,11.6,12.7,2.4,13.1,12.7,15.4,6,6,0,0,0,14,1,63,2220,0,14
'SAND BRANCH             ','SH 11             ',32571616,95132302,1955,2,2220,11.6,13.2,3,6.7,13.2,13.9,6,6,0,0,0,14,1,63,2220,0,14
'ATTAWAY BRANCH          ','SH 11             ',32570266,95091334,1955,2,2180,12.2,12.2,3,6.7,0,0,6,6,0,0,0,14,1,63,2180,0,14
'SMITH CREEK             ','US 80             ',32395717,95301405,1943,4,7370,19.5,27.7,2.4,7.9,27.7,31.8,6,6,0,0,1961,7,1,57,7370,1,7
'ROGERS CREEK            ','US 80             ',32350535,95094290,1963,4,5540,21.3,22.7,3,16.5,22.7,23.3,7,5,0,0,1986,7,1,32,5540,1,7
'PARKER BRANCH           ','US 80             ',32370543,95191833,1960,4,2930,21.3,11,2.7,8.8,0,0,6,6,0,0,0,7,1,58,2930,0,7
'SABINE RIVER TRIBUTARY  ','US 80             ',32365297,95183078,1960,4,3050,20.7,10.4,2.4,7.9,0,0,5,6,0,0,1970,7,1,48,3050,1,7
'DRAW                    ','US 80             ',32361607,95164804,1960,4,3050,20.7,10.4,2.7,8.8,0,0,7,7,0,0,1970,7,0,48,3050,1,7
'LITTLE DRY CREEK        ','SH 37             ',32490239,95260352,1949,2,4330,13.4,30.1,3,19.8,0,0,6,6,0,0,1970,13,1,48,4330,1,13
'SABINE RIVER TRIBUTARY  ','US 69             ',32381303,95291478,2009,8,10840,42.7,25.6,3,11.6,0,0,7,7,1,0,0,11,0,9,10840,0,11
'LANKFORD CREEK          ','US 69             ',32440812,95331790,1952,2,5370,13.4,13.4,1.8,6.1,0,0,7,7,1,0,1969,11,0,49,5370,1,11
'COTTONWOOD CREEK        ','FM 779            ',32440948,95355622,1963,2,740,7,11.1,3,6.7,11.1,18.2,7,7,0,0,2010,4,0,8,740,1,4
'MILL CREEK              ','SH 154            ',32463908,95145229,1948,2,1110,7.3,7.9,3,6.7,0,0,6,7,0,0,0,10,0,70,1110,0,10
