FEATURES_DESC_006A,FACILITY_CARRIED_007,LAT_016,LONG_017,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,APPR_WIDTH_MT_032,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,CHANNEL_COND_061,CULVERT_COND_062,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,Culvert_Damage,SVCYR,ADT,Reconst,PTRUCK
'DRAW                    ','ACCESS RD         ',30292408,97383282,2008,2,200,7.9,25.9,2.1,7.9,0,0,7,8,0,0,0,0,0,10,200,0,0
'West Amarillo Creek     ','Brickplant Rd     ',35185702,101567620,2008,2,100,7.5,8,9.1,19.4,8,9.3,6,7,0,0,0,10,0,10,100,0,10
'BARNETT SLOUGH          ','SH 24             ',33180665,95504535,1930,2,5000,11.6,11.6,1.8,8.5,0,0,7,7,1,0,1962,16,0,56,5000,1,16
'HONEY CREEK             ','SH 24             ',33200659,95460114,1934,4,4460,11.9,11.9,3,10.4,0,0,6,6,1,0,1959,17,1,59,4460,1,17
'DRAIN                   ','SH 24             ',33225759,95413327,1967,4,3970,21.3,10.7,3,6.7,0,0,6,6,1,0,0,19,1,51,3970,0,19
'JOHNS CREEK BRANCH      ','FM 64             ',33224077,95470955,1962,2,230,7.3,7.8,3,15.2,7.8,12,6,6,0,0,0,9,1,56,230,0,9
'DRAW                    ','FM 64             ',33223980,95454057,1962,2,420,6.7,8.6,3,9.8,8.6,10.2,6,6,0,0,0,10,1,56,420,0,10
'DOCTORS CREEK REL       ','FM 64             ',33223938,95435157,1962,2,420,6.7,8.7,2.4,13.1,8.7,10.4,7,7,0,0,0,10,0,56,420,0,10
'BIG CREEK RELIEF        ','SH 154            ',33220879,95392465,1990,2,860,7.3,13.3,3,18.6,13.3,14,7,7,0,0,0,26,0,28,860,0,26
'BIG CREEK BRANCH        ','SH 154            ',33220136,95383512,1990,2,860,7.3,13.3,3,9.1,13.3,14,7,7,0,0,0,26,0,28,860,0,26
'BOYD BRANCH             ','SH 19             ',33220005,95363106,1942,2,3390,13.4,13.4,2.4,8.2,0,0,6,7,1,0,1969,15,0,49,3390,1,15
'E FORK BIG CREEK        ','FM 128            ',33271263,95421834,1954,2,100,6.1,11.6,3,6.7,11.6,12,7,7,0,0,1960,16,0,58,100,1,16
'E FORK BIG CREEK        ','FM 128            ',33264262,95415658,1962,2,100,6.1,9.8,3,10.1,9.8,10.2,7,6,0,0,0,16,1,56,100,0,16
'JOHNS CREEK             ','FM 3388           ',33225905,95462807,2012,2,130,7.3,9.1,2.7,12.5,9.1,9.8,8,7,0,0,0,23,0,6,130,0,23
'DRAW                    ','FM 198            ',33270166,95354413,1950,2,160,6.7,6.7,1.5,7,0,0,7,7,0,0,1963,26,0,55,160,1,26
'E FORK JERNIGAN CRK REL ','FM 2068           ',33204034,95482990,1955,2,130,6.1,8.5,2.1,7,8.5,8.9,7,7,0,0,0,23,0,63,130,0,23
'DRAW                    ','FM 2068           ',33203954,95481551,1955,2,130,6.1,8.5,2.1,9.4,8.5,8.9,7,7,0,0,0,23,0,63,130,0,23
'Lake Creek Relief       ','FM 895            ',33241528,95304395,1951,2,160,6.1,5.9,3,13.1,5.9,6.4,7,5,0,0,0,28,1,67,160,0,28
'E FORK JERNIGAN CREEK   ','FM 904            ',33244019,95513060,1956,2,320,7.3,17.1,2.4,8.2,0,0,7,6,0,0,1990,20,1,28,320,1,20
'DRAW                    ','FM 904            ',33245766,95513012,1956,2,320,7.3,7.3,2.4,7.6,0,0,6,6,0,0,1990,20,1,28,320,1,20
'DRAW                    ','FM 1528           ',33215044,95412005,2000,2,1450,7.3,9.4,2.4,8.8,9.4,17.8,7,7,0,0,0,10,0,18,1450,0,10
'BIG CREEK BRANCH        ','FM 1529           ',33225632,95390712,1968,2,1120,7.3,10.1,3,6.7,7.3,10.8,7,7,0,0,0,12,0,50,1120,0,12
'BOYD BRANCH             ','FM 1529           ',33225781,95373269,1968,2,780,6.1,10.6,3,7.6,6.1,10.8,7,7,0,0,0,10,0,50,780,0,10
'DRAW                    ','FM 1531           ',33183302,95490895,1960,2,250,6.1,9.8,2.7,7,6.1,10.2,7,6,0,0,0,9,1,58,250,0,9
'BRUSHY CREEK            ','FM 2949           ',33252639,95392495,1979,2,310,6.1,6.9,2.7,10.4,0,0,6,7,0,0,0,20,0,39,310,0,20
'Johns Creek Tributary   ','CR 3320           ',33245646,95472125,2002,2,10,3.7,7.3,2.7,11.9,7.3,7.9,7,7,0,0,0,0,0,16,10,0,0
'Johns Creek             ','CR 3430           ',33261592,95490621,2003,2,10,4.3,7.3,3,6.7,7.3,7.9,7,7,0,0,0,0,0,15,10,0,0
'Branch of Brushy Creek  ','CR 4615           ',33251241,95372894,1996,1,10,3,4.9,3,11.9,0,0,6,6,0,0,0,0,1,22,10,0,0
'Lake Creek Tributary    ','CR 4620           ',33262180,95351784,2014,2,70,7.3,7.5,1.8,8.2,7.5,7.9,8,7,0,0,0,0,0,4,70,0,0
'Lake Creek              ','CR 1140           ',33255117,95331554,2003,2,20,3,7.3,2.4,11,7.3,7.9,7,7,0,0,0,0,0,15,20,0,0
'CANEY BRANCH            ','SH 56             ',33344072,96163971,1933,2,2500,12.2,13.1,3,6.4,0,0,6,6,0,0,1955,5,1,63,2500,1,5
'POWDER CRK              ','SH 56             ',33343787,96113643,1933,4,10160,24.4,48.8,1.5,14.6,0,0,6,6,0,0,1974,3,1,44,10160,1,3
'POWDER CRK REL          ','SH 56             ',33343777,96112455,1933,3,8960,20.1,37.8,1.5,10.1,0,0,6,6,0,0,1974,3,1,44,8960,1,3
'CANOE LK DRAINAGE DITCH ','SH 56             ',33343121,96084591,1931,2,2760,12.8,12.8,1.5,7,0,0,6,7,0,0,1965,21,0,53,2760,1,21
'TOLLETT CREEK           ','SH 56             ',33351394,95530900,1954,2,3390,11.6,11.7,1.8,8.2,0,0,6,6,0,0,0,16,1,64,3390,0,16
'TIMBER CREEK            ','US 82             ',33361447,96131152,1998,2,5250,13.7,29.4,3,13.7,0,0,7,6,1,0,0,4,1,20,5250,0,4
'TIMBER CREEK TRIBUTARY  ','US 82             ',33361776,96115260,1998,4,5250,27.1,13.9,2.7,12.5,0,0,6,7,1,0,0,4,0,20,5250,0,4
'BRUSHY CREEK TRIBUTARY  ','US 82             ',33365343,96220324,1998,4,5250,13.7,43.9,3,9.4,0,0,7,7,1,0,0,4,0,20,5250,0,4
'TRIBUTARY OF CANEY CREEK','US 82             ',33363051,96161108,1998,4,7200,11.6,11.6,3,8.8,0,0,7,7,1,0,0,4,0,20,7200,0,4
'THREE MILE CREEK        ','US 82             ',33354562,95514423,1954,2,5390,20.1,12.2,2.4,11.3,0,0,6,6,1,0,1990,16,1,28,5390,1,16
'WEST ONSTOTT CREEK      ','US 82             ',33362348,96055809,1990,3,5910,13.4,13.4,3,10.7,0,0,4,6,1,0,0,16,1,28,5910,0,16
'EAST ONSTOTT CREEK      ','US 82             ',33362307,96051437,1990,2,5910,13.4,13.4,2.4,11.6,0,0,7,6,1,0,0,16,1,28,5910,0,16
'SPRING BRANCH           ','US  82            ',33363213,96015415,1990,2,5640,13.4,13.4,2.4,7.9,0,0,7,7,1,0,0,16,0,28,5640,0,16
'COTTONWOOD CREEK        ','US 82             ',33363380,96014600,1990,2,5640,13.4,13.4,3,18.9,0,0,6,6,1,0,0,16,1,28,5640,0,16
'DRAW                    ','US 82             ',33362104,95585897,1991,2,5690,13.4,13.4,3,16.8,0,0,6,7,1,0,0,16,0,27,5690,0,16
'WARD CREEK              ','US 82             ',33362009,95583550,1990,2,5690,13.4,13.4,3,26.5,0,0,7,6,1,0,0,16,1,28,5690,0,16
'DRAW                    ','US 82             ',33355480,95553149,1990,2,5820,13.4,13.6,2.4,8.2,0,0,6,7,1,0,0,16,0,28,5820,0,16
'DRAW                    ','US 82             ',33355258,95550432,1990,2,5820,13.4,15.9,2.4,8.2,0,0,7,7,1,0,0,16,0,28,5820,0,16
'PECAN CREEK             ','SH 50             ',33241848,95561883,1966,2,1040,9.8,15.2,1.8,10.4,15.2,18.1,7,6,0,0,0,9,1,52,1040,0,9
'N SULPHUR RIVER RELIEF  ','SH 34             ',33270424,95562565,1934,2,840,9.1,13.4,1.8,16.2,13.4,13.8,7,6,0,0,1960,11,1,58,840,1,11
'N SULPHUR RIVER RELIEF  ','SH 34             ',33272860,95563115,1934,2,840,9.1,13.4,1.8,11.9,13.4,13.8,6,5,0,0,1960,11,1,58,840,1,11
'MOSS CREEK              ','SH 34             ',33311020,95561270,1971,2,830,9.1,9.7,3,12.8,0,0,6,6,0,0,0,11,1,47,830,0,11
'BAKER CREEK             ','SH 34             ',33322341,95551589,1934,2,970,9.1,9.8,1.8,24.1,9.8,17.5,6,6,0,0,1971,12,1,47,970,1,12
'FLOYD CREEK             ','SH 34             ',33334979,95545902,1971,2,970,9.1,10.2,2.7,9.8,10.2,17.5,7,7,0,0,0,12,0,47,970,0,12
'BOIS D'ARC CREEK RELIEF ','FM 100            ',33454899,95545972,1952,2,190,8.5,17.1,2.4,13.1,17.1,17.5,7,6,0,0,1994,9,1,24,190,1,9
'HONEY GROVE CREEK       ','FM  100           ',33360045,95544128,1990,2,1150,7.3,16.8,3,10.1,16.8,17.2,6,7,0,0,0,0,0,28,1150,0,0
'ARNOLD CRK              ','US 69             ',33224275,96141759,1943,2,4460,17.7,27,1.5,7,0,0,7,7,0,0,1997,12,0,21,4460,1,12
'CHINQUAPIN CREEK        ','US 69             ',33274750,96214406,1952,2,3570,13.4,13.4,3,7.3,0,0,7,6,0,0,1970,14,1,48,3570,1,14
'DRAW                    ','SH 78             ',33335707,96103947,1938,2,3120,9.1,10.4,2.4,13.4,0,0,6,6,0,0,0,13,1,80,3120,0,13
'BOIS D'ARC BRANCH       ','SH 78             ',33332094,96103441,1938,2,2480,9.1,9.1,1.5,7,0,0,6,7,0,0,0,28,0,80,2480,0,28
'DRAW                    ','SH 78             ',33323797,96105698,1947,2,1810,9.1,9,3,6.7,9,14.7,7,7,0,0,0,28,0,71,1810,0,28
'LITTLE BRANCH           ','SH 78             ',33254273,96100537,1936,2,1430,7.6,10.7,1.5,8.2,10.7,16.3,5,5,0,0,0,17,1,82,1430,0,17
'WEAVER BRANCH           ','SH 78             ',33241892,96121711,1936,2,1790,7.6,10.3,1.8,6.7,10.3,14.8,6,5,0,0,0,28,1,82,1790,0,28
'S SULPHUR RIVER         ','SH 78             ',33233637,96132457,1936,2,1790,7.6,10.1,1.8,11.3,10.1,14.7,7,7,0,0,0,28,0,82,1790,0,28
'LEE CRK                 ','SH 78             ',33224765,96161995,1957,2,2320,7.6,16.4,3,9.4,0,0,7,6,0,0,0,28,1,61,2320,0,28
'MOTTS BRANCH            ','SH 78             ',33222768,96174414,1957,2,2320,7.6,7.6,2.7,8.5,0,0,6,6,0,0,0,28,1,61,2320,0,28
'BEAR CRK                ','SH 78             ',33222913,96184209,1957,2,1790,7.6,17.1,3,9.4,17.1,17.5,6,6,0,0,0,28,1,61,1790,0,28
'DELBA CRK               ','SH 78             ',33223080,96194201,1957,2,1790,7.6,18.8,3,9.4,0,0,5,7,0,0,0,28,0,61,1790,0,28
'BAILEY CRK              ','SH 78             ',33223208,96202563,1957,2,1790,7.6,13.4,3,6.4,0,0,7,6,0,0,0,28,1,61,1790,0,28
'INDIAN CRK              ','SH 78             ',33223261,96210246,1957,2,1960,7.6,18.3,3,6.4,0,0,6,7,0,0,0,28,0,61,1960,0,28
'DOG CRK                 ','SH 78             ',33223294,96212707,1957,2,1960,7.6,13.4,3,6.4,0,0,7,6,0,0,0,28,1,61,1960,0,28
'PORTER CREEK            ','FM 898            ',33311786,96203378,1953,2,190,6.7,13.5,1.5,6.7,0,0,7,7,0,0,1967,9,0,51,190,1,9
'MCCLUNG CREEK           ','FM 898            ',33325451,96161841,1991,2,280,6.7,8.4,2.4,7.9,8.4,9.1,7,7,0,0,0,10,0,27,280,0,10
'CANEY CRK REL           ','FM 898            ',33361652,96164018,1960,2,950,6.1,7.3,2.7,28.7,7.3,7.7,6,6,0,0,0,11,1,58,950,0,11
'CANEY CRK REL           ','FM 898            ',33362358,96163999,1960,2,950,6.1,7.3,2.7,28.7,7.3,7.7,6,7,0,0,0,11,0,58,950,0,11
'COOPER CRK              ','SH 121            ',33323770,96125079,1958,3,7720,15.9,15.9,2.7,11.9,0,0,6,6,0,0,0,12,1,60,7720,0,12
'MCCLUNG CRK             ','SH 121            ',33313274,96132640,1958,3,7140,15.9,15.9,3,10.1,0,0,5,6,0,0,2002,12,1,16,7140,1,12
'HENSON CRK              ','SH 121            ',33305299,96134983,1958,3,7140,15.9,15.9,2.7,9.1,0,0,6,6,0,0,1970,12,1,48,7140,1,12
'TIMBER CREEK            ','SH 121            ',33364511,96113107,1970,2,3970,13.7,28,2.4,11.9,0,0,6,6,0,0,0,14,1,48,3970,0,14
'PIG BRANCH              ','SH 121            ',33351980,96113296,1970,4,11480,19.2,19.3,2.1,13.4,19.3,29.9,7,7,0,0,0,19,0,48,11480,0,19
'POWDER CREEK            ','SH 121            ',33344100,96113248,1970,4,11480,21.6,21.6,2.4,10.4,0,0,6,7,1,0,0,19,0,48,11480,0,19
'S FK POWDER CRK         ','SH 121            ',33335772,96120754,1974,3,7770,17.7,26.8,2.4,7.3,0,0,7,6,0,0,0,10,1,44,7770,0,10
'BRUSHY CREEK            ','SH 121            ',33265618,96181906,1958,3,6880,15.9,15.9,3,14.9,0,0,6,6,0,0,1967,12,1,51,6880,1,12
'DOG CREEK               ','SH 121            ',33250711,96214693,1962,3,7960,15.9,15.9,1.8,14,0,0,7,7,0,0,2002,12,0,16,7960,1,12
'BOIS D'ARC BRANCH       ','FM 271            ',33331888,96101568,1985,2,720,9.1,12.2,3,9.4,12.2,12.6,7,7,0,0,0,15,0,33,720,0,15
'BOIS D'ARC BRANCH       ','FM 271            ',33331404,96095842,1985,2,720,9.1,12.2,2.7,8.5,12.2,12.6,7,7,0,0,0,15,0,33,720,0,15
'INDIAN CREEK            ','FM 814            ',33254671,96204073,1991,2,1220,6.7,11.3,3,13.1,0,0,6,7,0,0,0,11,0,27,1220,0,11
'HICKORY CRK             ','FM 816            ',33224353,96092469,1951,2,300,6.7,16.2,2.4,7.3,0,0,5,5,0,0,1963,18,1,55,300,1,18
'MCCLURE CREEK           ','FM 824            ',33320564,95535722,1940,2,470,6.1,9.1,3,6.7,9.1,11.4,6,7,0,0,1962,10,0,56,470,1,10
'SHELTON CREEK           ','FM 824            ',33302524,95540125,1940,2,180,6.1,9.1,3,6.7,9.1,13.2,6,6,0,0,1962,9,1,56,180,1,9
'DRAW                    ','FM 2077           ',33335403,96045640,1960,2,470,6.7,9.1,3,6.7,9.1,12.6,5,6,0,0,0,10,1,58,470,0,10
'PICKLE CREEK            ','FM 1550           ',33292019,96010304,1956,2,240,7.3,17.7,2.4,7.3,17.7,18.1,7,7,0,0,1990,9,0,28,240,1,9
'PICKLE BRANCH           ','FM 1550           ',33291965,96004561,1956,2,240,7.3,17.1,2.7,8.5,17.1,17.5,6,6,0,0,1990,9,1,28,240,1,9
'POT CREEK               ','FM 1550           ',33302127,96045015,1950,2,260,7.3,17.1,1.8,9.8,17.1,17.5,5,7,0,0,1990,9,0,28,260,1,9
'BLEDSOE CREEK           ','FM 1550           ',33292490,95520532,2003,2,260,6.1,15.9,3,9.4,15.9,16.5,6,7,0,0,0,9,0,15,260,0,9
'SHAWNEE CREEK           ','FM 1552           ',33263948,96074659,1990,2,140,6.7,8.4,3,9.4,8.4,9.1,7,7,0,0,0,0,0,28,140,0,0
'BRUSHY CRK              ','FM 1752           ',33384454,96212372,1954,2,210,6.1,9.4,2.4,10.4,0,0,6,7,0,0,0,23,0,64,210,0,23
'MAHURIN CRK             ','FM 1752           ',33341606,96205930,1954,2,390,6.1,8.5,3,6.4,0,0,7,5,0,0,0,10,1,64,390,0,10
'CANEY CRK               ','FM 1752           ',33353062,96220521,1963,2,390,6.7,8.4,3,9.8,0,0,7,5,0,0,0,10,1,55,390,0,10
'DAMERON CRK             ','FM 1752           ',33344649,96212786,1963,2,390,6.1,8.5,3,6.4,0,0,7,7,0,0,0,10,0,55,390,0,10
'HENLEY CREEK            ','FM 1753           ',33405660,96190898,1980,2,1800,7.3,10.2,3,9.8,0,0,7,7,0,0,0,10,0,38,1800,0,10
'MURPHY CREEK            ','FM 1753           ',33403904,96180021,1996,2,360,7.3,7.3,2.7,9.1,0,0,6,7,0,0,0,10,0,22,360,0,10
'BOIS D'ARC CREEK RELIEF ','FM 1396           ',33405950,95591325,1956,2,380,6.1,9.1,3,29.3,9.1,11.4,6,6,0,0,0,10,1,62,380,0,10
'COOPER CRK              ','FM 1629           ',33322429,96120225,1956,2,510,6.1,9.3,2.7,11.9,9.3,14.1,7,6,0,0,0,10,1,62,510,0,10
'ROCK CREEK              ','SH 11             ',33294963,96204809,1958,2,1390,6.7,9.8,2.7,8.8,0,0,5,7,0,0,0,28,0,60,1390,0,28
'PORTER CREEK            ','SH 11             ',33294034,96191214,1958,2,1390,6.7,23.8,2.7,8.5,0,0,6,6,0,0,0,28,1,60,1390,0,28
'JONES CRK               ','SH 11             ',33242587,96065514,1958,2,1990,12.8,12.8,3,11,0,0,6,7,0,0,1990,15,0,28,1990,1,15
'BLACK CREEK             ','FM 2554           ',33483516,96073658,1963,2,350,6.7,8.8,2.4,10.4,0,0,7,6,0,0,0,10,1,55,350,0,10
'ROBERT SPRINGS CREEK    ','FM 2554           ',33483284,96064094,1963,2,350,6.1,8.8,3,9.4,0,0,7,6,0,0,0,10,1,55,350,0,10
'DRAW                    ','FM 2554           ',33485209,96053667,1963,2,350,6.1,8.8,2.7,6.7,0,0,6,7,0,0,0,10,0,55,350,0,10
'ELWOOD BRANCH           ','FM 2554           ',33485360,96043417,1963,2,350,6.1,8.8,2.7,7.9,8.8,10.8,6,7,0,0,0,10,0,55,350,0,10
'BOIS D'ARC CREEK RELIEF ','FM 409            ',33443827,95575527,1985,2,150,6.7,6.7,3,6.7,15.9,16.2,7,7,0,0,0,9,0,33,150,0,9
'LEGGETT BRANCH          ','FM 2990           ',33273605,95581319,1974,2,180,6.1,9.8,3,6.4,0,0,5,6,0,0,0,23,1,44,180,0,23
'DAVIS CREEK             ','FM 2990           ',33275939,95590993,1974,2,180,6.1,9.1,3,14.9,0,0,5,6,0,0,0,23,1,44,180,0,23
'ROCK CREEK              ','CR 4500           ',33293923,96205748,2003,2,70,3.7,7.3,3,9.1,7.3,7.9,7,7,0,0,0,0,0,15,70,0,0
'TIMBER CREEK            ','WEST AIRPORT RD   ',33364604,96112894,1960,2,500,6.4,9.1,3,6.4,9.1,13,6,6,0,0,0,0,1,58,500,0,0
'WILSON BR               ','US 67             ',33111141,95175110,1942,2,1120,6.7,13.4,3,14.9,13.4,13.9,7,7,0,0,0,14,0,76,1120,0,14
'RIPLEY CREEK DRAW       ','US 67             ',33102525,95081514,1936,2,1490,7.3,13.4,1.8,8.2,13.4,13.8,7,7,0,0,1954,6,0,64,1490,1,6
'DRAW                    ','SH 37             ',33195174,95145899,1936,2,2140,13.4,25.7,2.1,11.9,25.7,26.1,6,7,0,0,1960,28,0,58,2140,1,28
'COBB JONES CREEK        ','SH 37             ',33182422,95144864,1936,2,1870,13.4,26.2,3,16.8,26.2,26.5,7,7,0,0,1960,28,0,58,1870,1,28
'DRAW                    ','SH 37             ',33174331,95144185,1936,2,1870,13.4,25.9,2.1,9.4,25.9,26.3,6,7,0,0,1950,28,0,68,1870,1,28
'BLAIR CREEK             ','SH 37             ',33042582,95160326,1957,2,2520,6.7,15.9,3,10.1,0,0,6,7,0,0,0,16,0,61,2520,0,16
'BIG CREEK               ','IH 30 N FR        ',33095711,95174932,1963,2,330,6.7,9.8,2.1,7,9.8,10.2,6,6,0,0,0,28,1,55,330,0,28
'BIG CREEK               ','IH 30 S FR        ',33095453,95174961,1963,2,440,6.1,9.8,2.1,7,9.8,10.2,6,7,0,0,0,34,0,55,440,0,34
'BIG CREEK RELIEF        ','IH 30 N FR        ',33095664,95174143,1963,2,330,6.1,9.7,2.1,7,9.7,10.1,6,6,0,0,0,28,1,55,330,0,28
'BIG CREEK RELIEF        ','IH 30 S FR        ',33095404,95174169,1963,2,440,6.1,9.8,2.1,7,9.8,10.2,6,7,0,0,0,34,0,55,440,0,34
'HUGGINS CREEK           ','FM 900            ',33060385,95174870,1990,2,670,6.7,8.5,3,9.8,0,0,6,7,0,0,0,6,0,28,670,0,6
'STOUTS CRK              ','FM 115            ',33012823,95105819,1975,2,1310,7.3,13.7,3,10.1,13.7,14.1,6,7,0,0,0,3,0,43,1310,0,3
'INDIAN CREEK            ','FM 115            ',33000581,95105351,1975,2,780,7.3,14.6,2.7,9.1,14.6,15,6,7,0,0,0,9,0,43,780,0,9
'GUM BRANCH              ','FM 1448           ',32584614,95133177,1956,2,840,7.3,7.3,2.4,8.2,0,0,5,6,0,0,0,4,1,62,840,0,4
'INDIAN CREEK            ','FM 1448           ',33001380,95120099,1990,2,650,6.7,10.2,3,9.8,10.2,11,6,7,0,0,0,9,0,28,650,0,9
'ANDYS CREEK             ','FM 3007           ',33042275,95080813,1977,2,1070,6.7,6.4,3,10.1,0,0,6,7,0,0,0,4,0,41,1070,0,4
'PANTHER CREEK           ','FM 115            ',33052264,95131487,1970,2,2070,7.3,15.5,3,10.4,0,0,6,7,0,0,0,9,0,48,2070,0,9
'BEAR CREEK              ','FM 3122           ',33052683,95124059,1971,2,840,7.3,10.8,3,7.6,10.8,11.2,7,7,0,0,0,9,0,47,840,0,9
'Cobb Jones Creek        ','CR NW 1050        ',33182617,95142073,2001,2,140,4.3,7.2,3,11.6,7.2,8,8,7,0,0,0,0,0,17,140,0,0
'Blundell Creek Trib     ','CR SE 4130        ',33083359,95075516,1988,2,350,6.1,7.2,3,8.5,0,0,7,7,0,0,0,0,0,30,350,0,0
'Blundell Creek          ','CR SE 4130        ',33082802,95075726,1988,2,350,6.1,7.4,3,14.6,0,0,5,7,0,0,0,0,0,30,350,0,0
'DRAIN                   ','SH 56             ',33383866,96521357,1930,2,2640,12.8,14.3,3,7,0,0,7,7,0,0,1954,6,0,64,2640,1,6
'DRAIN                   ','SH 56             ',33383566,96515669,1930,2,2640,12.8,13.9,3,13.4,13.9,18.1,6,6,0,0,1954,6,1,64,2640,1,6
'DRAIN                   ','SH 56             ',33382342,96504841,1930,2,2350,12.8,14,3,7,14,16.1,7,6,0,0,1954,6,1,64,2350,1,6
'DRAIN                   ','SH 56             ',33372608,96452721,1930,2,2350,12.2,14.3,1.2,8.2,14.3,15.9,8,6,0,0,1954,6,1,64,2350,1,6
'DRAIN                   ','SH 56             ',33373165,96460599,1930,2,2350,12.2,12.2,3,20.4,15.2,15.7,6,6,0,0,1954,6,1,64,2350,1,6
'BEAVER CREEK            ','SH 56             ',33371642,96434203,1930,2,2350,12.8,14.2,3,10.4,0,0,6,6,0,0,1954,6,1,64,2350,1,6
'CALF CREEK              ','SH 56             ',33382485,96335463,1930,2,3030,12.8,13.8,3,6.7,0,0,6,6,0,0,1955,4,1,63,3030,1,4
'BLUE CREEK              ','SH 56             ',33380703,96321275,1930,2,4780,13.4,13.8,3,7,0,0,5,6,0,0,1955,6,1,63,4780,1,6
'BLUE CREEK              ','SH 56             ',33380261,96310878,1930,2,3030,12.8,13.4,3,9.8,0,0,6,6,0,0,1955,4,1,63,3030,1,4
'CHOCTAW CRK REL #1      ','SH 56             ',33380161,96295974,1930,2,4780,12.8,13.4,3,23.5,13.4,15.8,8,7,0,0,1955,6,0,63,4780,1,6
'CHOCTAW CRK REL #2      ','SH 56             ',33380112,96294620,1930,2,4780,12.8,13.6,2.4,14,0,0,8,6,0,0,1955,6,1,63,4780,1,6
'RATTLE SNAKE CREEK      ','SH 56             ',33380168,96283654,1930,2,3030,12.8,13.6,2.4,10.7,13.6,17.1,6,6,0,0,1955,4,1,63,3030,1,4
'CORNELIASON CREEK       ','SH 56             ',33363633,96241716,1923,2,4780,12.5,13.7,3,6.7,0,0,7,6,0,0,1962,6,1,56,4780,1,6
'DRAIN                   ','US 82             ',33402500,96540123,1970,4,17400,24.4,12.2,1.8,9.8,0,0,6,6,1,0,0,2,1,48,17400,0,2
'DRAW                    ','US 82             ',33402066,96502198,1971,4,17220,24.4,12.2,3,11.6,0,0,6,7,1,0,0,2,0,47,17220,0,2
'BRANCH HARRIS CRK       ','US 82             ',33401593,96415959,1971,6,17610,32.6,13.7,1.5,7.6,0,0,6,7,1,0,2009,2,0,9,17610,1,2
'DRAW                    ','US 82             ',33401599,96381072,1971,8,23500,39.6,12.2,2.1,7.3,0,0,6,7,1,0,0,2,0,47,23500,0,2
'DRAW                    ','US 82             ',33401497,96365407,1975,10,15330,43.9,12.8,2.4,9.4,0,0,5,6,1,0,0,2,1,43,15330,0,2
'DRAIN                   ','US 82             ',33395775,96352336,1975,8,13150,37.8,12.2,2.1,16.5,0,0,6,7,1,0,0,2,0,43,13150,0,2
'DRAIN                   ','US 82             ',33393701,96340229,1976,4,13150,20.7,10.4,1.5,7,0,0,6,7,1,0,0,2,0,42,13150,0,2
'DUCK CREEK              ','US 69             ',33472873,96315203,1930,4,3000,25,13.4,3,13.4,0,0,6,6,1,0,2009,24,1,9,3000,1,24
'DUCK CREEK              ','US 69 NB          ',33464513,96315541,1930,2,2040,13.4,13.3,1.8,8.2,0,0,6,6,1,0,1943,22,1,75,2040,1,22
'DUCK CRK                ','US 69 SB          ',33464519,96315609,1962,2,2040,11.6,11.6,1.8,8.2,0,0,7,6,1,0,0,22,1,56,2040,0,22
'POST OAK CRK TRIB       ','US 75             ',33390152,96364346,1981,8,13900,44.2,18.3,2.1,7.3,0,0,6,6,1,0,0,0,1,37,13900,0,0
'E FORK POST OAK CRK     ','US 75 SB FRTG RD  ',33385427,96364528,1962,7,4590,12.2,7.3,3,9.8,0,0,7,6,0,0,1981,6,1,37,4590,1,6
'POST OAK CRK TRIB       ','WASHINGTON ST     ',33382441,96365488,1962,5,36900,22.9,12.8,3,9.8,0,0,7,6,0,0,0,15,1,56,36900,0,15
'POST OAK CREEK TRIBUTARY','US 75 SB FR       ',33381322,96365783,1962,2,5800,9.8,9.8,3,14,0,0,6,6,0,0,0,13,1,56,5800,0,13
'EAST FORK POST OAK CREEK','US 75 SB ENTR RAMP',33383739,96365141,1985,1,610,9.1,9.1,3,9.8,0,0,7,6,1,0,0,6,1,33,610,0,6
'E PRONG WHITES CREEK    ','US 75             ',33272855,96363168,1965,9,35680,43.9,19.2,3,9.4,0,0,6,6,1,0,0,15,1,53,35680,0,15
'DRAW                    ','US 75             ',33263912,96360450,1965,8,35680,43.9,14.6,3,7,0,0,7,7,1,0,0,15,0,53,35680,0,15
'DRAW                    ','US 75             ',33243612,96345713,1965,8,37530,43.9,14.6,2.7,8.5,0,0,6,6,1,0,0,14,1,53,37530,0,14
'POST OAK CRK TRIB       ','SH 91             ',33392341,96364447,1943,4,18576,18.3,10.7,2.1,7.3,0,0,6,6,1,0,0,16,1,75,18576,0,16
'E FORK POST OAK CRK     ','US 75 SB FR       ',33392412,96364805,1981,2,10870,8.2,8.2,2.7,7.9,0,0,7,6,0,0,0,13,1,37,10870,0,13
'SHAWNEE CREEK           ','US 75             ',33472622,96340185,1991,8,29820,37.8,37.8,2.1,11.6,0,0,5,7,1,0,0,16,0,27,29820,0,16
'DRAIN                   ','US 75             ',33474846,96325297,1991,8,28530,37.8,11.6,3,7.6,0,0,7,6,1,0,0,17,1,27,28530,0,17
